i,t
4.1666666666666665e-05,0
4.1666666666666665e-05,1
4.1666666666666665e-05,2
2.777777777777778e-05,3
2.777777777777778e-05,4
2.777777777777778e-05,5
2.777777777777778e-05,6
2.0833333333333333e-05,7
0.0005902777777777778,8
0.46593055555555557,9
0.7031597222222222,10
0.8286805555555555,11
0.8459791666666666,12
0.8155208333333334,13
0.7629027777777778,14
0.7037916666666667,15
0.6432013888888889,16
0.5863541666666666,17
0.5339236111111111,18
0.48510416666666667,19
0.4405486111111111,20
0.399875,21
0.36260416666666667,22
0.3285,23
0.29815277777777777,24
0.2696388888888889,25
0.24436805555555555,26
0.22058333333333333,27
0.19775,28
0.17616666666666667,29
0.15619444444444444,30
0.1382986111111111,31
0.12225694444444445,32
0.10876388888888888,33
0.09570138888888889,34
0.08452777777777777,35
0.07427777777777778,36
0.06565972222222222,37
0.058201388888888886,38
0.051659722222222225,39
0.04540277777777778,40
0.04005555555555555,41
0.0354375,42
0.031208333333333334,43
0.027541666666666666,44
0.024243055555555556,45
0.021375,46
0.01879166666666667,47
0.016444444444444446,48
0.014493055555555556,49
0.012798611111111111,50
0.01125,51
0.009965277777777778,52
0.0088125,53
0.007784722222222222,54
0.006923611111111111,55
0.006083333333333333,56
0.005215277777777778,57
0.0045694444444444446,58
0.0040347222222222225,59
0.003625,60
0.003138888888888889,61
0.0028194444444444443,62
0.002451388888888889,63
0.002159722222222222,64
0.0018541666666666667,65
0.0016319444444444445,66
0.0014375,67
0.0012083333333333334,68
0.0011111111111111111,69
0.0010069444444444444,70
0.0008402777777777778,71
0.0007430555555555555,72
0.0006458333333333333,73
0.0005625,74
0.00047222222222222224,75
0.0004236111111111111,76
0.00038194444444444446,77
0.00034722222222222224,78
0.00032638888888888887,79
0.00028472222222222223,80
0.00025,81
0.00022916666666666666,82
0.00021527777777777778,83
0.00019444444444444443,84
0.00016666666666666666,85
0.00015277777777777777,86
0.00014583333333333335,87
0.000125,88
0.00010416666666666667,89
9.722222222222222e-05,90
8.333333333333333e-05,91
6.25e-05,92
4.861111111111111e-05,93
4.861111111111111e-05,94
4.1666666666666665e-05,95
4.1666666666666665e-05,96
3.472222222222222e-05,97
2.777777777777778e-05,98
2.0833333333333333e-05,99
2.0833333333333333e-05,100
6.944444444444445e-06,101
6.944444444444445e-06,102
0.0,103
0.0,104
0.0,105
0.0,106
0.0,107
0.0,108
0.0,109
0.0,110
0.0,111
0.0,112
0.0,113
0.0,114
0.0,115
0.0,116
0.0,117
0.0,118
0.0,119
0.0,120
0.0,121
0.0,122
0.0,123
0.0,124
0.0,125
0.0,126
0.0,127
0.0,128
0.0,129
0.0,130
0.0,131
0.0,132
0.0,133
0.0,134
0.0,135
0.0,136
0.0,137
0.0,138
0.0,139
0.0,140
0.0,141
0.0,142
0.0,143
0.0,144
0.0,145
0.0,146
0.0,147
0.0,148
0.0,149
0.0,150
0.0,151
0.0,152
0.0,153
0.0,154
0.0,155
0.0,156
0.0,157
0.0,158
0.0,159
0.0,160
0.0,161
0.0,162
0.0,163
0.0,164
0.0,165
0.0,166
0.0,167
0.0,168
0.0,169
0.0,170
0.0,171
0.0,172
0.0,173
0.0,174
0.0,175
0.0,176
0.0,177
0.0,178
0.0,179
0.0,180
0.0,181
0.0,182
0.0,183
0.0,184
0.0,185
0.0,186
0.0,187
0.0,188
0.0,189
0.0,190
0.0,191
0.0,192
0.0,193
0.0,194
0.0,195
0.0,196
0.0,197
0.0,198
0.0,199
